#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
51,"Apologize","Timbaland,OneRepublic",118,4B,60,2026-01-20,03:04,76,"soft pop","Shock Value",2007-04-02,65,3,0,10,0,10,-6,G#/A♭ Major,4,6ucR4KfvsBFWCMVFDvyKKl,USUM70722793
52,"Red","Catfish and the Bottlemen",135,6A,85,2026-01-21,03:48,46,"indie, indie rock","The Ride",2016-05-27,54,0,9,17,0,0,-5,G Minor,4,6ThVbNunEIjQxRNn0gk6Yg,GBUM71600838
53,"You're so Cold","Two Feet",93,9A,33,2026-01-21,03:16,47,"","First Steps",2016-07-29,89,16,78,35,0,10,-8,E Minor,4,6ytwjgwBRxYTUxYJbbkCtf,DEVF11600019
54,"How","The Neighbourhood",152,6A,75,2026-01-22,05:14,56,"","I Love You.",2013-04-22,38,0,69,6,0,0,-6,G Minor,4,6mAuw7R6u4vlNneuBgnC8K,USSM11300888
55,"Cute Without The 'E' (Cut From The Team) - Remastered 2019","Taking Back Sunday",95,12A,89,2026-01-22,03:32,68,"emo, pop punk, screamo, post-hardcore, punk","Tell All Your Friends (Remastered)",2002-03-26,40,3,0,57,0,0,-2,C♯/D♭ Minor,4,6OyKBwLzq4h15XmxeWf5n4,USC4R1901592
56,"Mouthful of Diamonds","Phantogram",100,8B,82,2026-01-22,04:13,63,"","Eyelid Movies",2010-00-00,61,14,82,22,0,10,-5,C Major,4,6zO0e11RCBnh1w8kjPZpIh,USBS50931057
57,"All A Mystery","Phantogram",204,10B,66,2026-01-22,03:09,27,"","Memory Of A Day (Deluxe)",2025-10-31,29,0,1,23,0,10,-6,D Major,3,15me96DL7o7XC4kctKRTjT,USA2P2423117
58,"Nothing But Trouble","Phantogram",96,8B,87,2026-01-22,04:05,34,"","Voices",2014-02-18,57,0,6,44,0,30,-6,C Major,4,3tgKPIjhpelqSeKbDzaG3c,USUM71318565
59,"labour","Paris Paloma",84,10A,57,2026-01-22,03:57,72,"","labour",2023-03-23,65,40,0,44,10,30,-10,B Minor,4,2Ggr9IfS70wYQacW8nZKPG,CAN112300498
60,"My Hand/Lawless Dream","Matt Maeson",113,6B,56,2026-01-22,05:42,34,"","Never Had to Leave",2022-08-26,56,8,0,25,0,10,-7,A#/B♭ Major,4,72HVBW3f3TF2p8aCP1h1Nu,USAT22207426
61,"God Needs The Devil","Jonah Kagen",81,8A,53,2026-01-22,03:12,80,"folk pop, pop singer-songwriter","God Needs The Devil",2024-05-03,55,64,0,29,0,0,-8,A Minor,4,3nEotpBFeXq0OJstuHzwDP,USAR12400126
62,"Okay I Believe You, But My Tommy Gun Don't","Brand New",111,2A,59,2026-01-22,05:35,53,"emo, pop punk, post-hardcore","Deja Entendu",2003-06-17,74,53,0,47,0,10,-8,D#/E♭ Minor,4,2WX6hfQa4BqbPTS0o4aSDV,USRZR0389604
63,"Heavy In Your Arms","Florence + The Machine",80,8A,80,2026-01-22,04:45,50,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,32,51,0,30,0,0,-6,A Minor,4,3YZ4ccGSysav9mPqbni9JU,GBUM71024262
64,"Way down We Go","KALEO",163,3A,51,2026-01-22,03:33,84,"","A/B",2016-06-10,49,58,0,34,10,10,-8,A#/B♭ Minor,4,0y1QJc3SJVPKJ1OvFmFqe6,USAT21502122
65,"Come Follow Me Down","George Taylor",79,12A,74,2026-01-22,03:12,38,"","Come Follow Me Down",2018-05-11,58,51,0,20,0,0,-6,C♯/D♭ Minor,4,5RPx9i0nwUdzpvJcYFTe1D,QM24S1811100
66,"Welcome to the Fire","Willyecho",120,7A,52,2026-01-22,03:23,52,"","Welcome to the Fire",2017-08-29,61,29,0,34,0,10,-6,D Minor,4,4EEKnVdnAF0hNIpdAjqBjb,TCADG1715089
67,"Set Me On Fire","Birdmask",84,6A,55,2026-01-22,03:46,25,"","Set Me On Fire",2020-06-05,23,63,0,16,10,0,-10,G Minor,3,054H1jWLyla0XIYb00xk4p,CH8092001420
68,"Grave Digger","Matt Maeson",140,11A,44,2026-01-22,03:57,50,"","Grave Digger",2016-02-18,56,3,0,37,0,10,-8,F#/G♭ Minor,4,6UWmNaS12bUJzFBuQB6e7j,uscgh1674138
69,"Future Starts Slow","The Kills",128,2B,74,2026-01-22,04:08,56,"garage rock","Blood Pressures",2011-04-04,68,1,0,47,0,0,-6,F#/G♭ Major,4,0A0RBBTrgfq9eClnw6ZXT7,GBCEL1100005
70,"Wonderful Nothing","Glass Animals",89,11A,49,2026-01-22,04:24,60,"","I Love You So F***ing Much",2024-07-19,65,25,0,48,0,20,-9,F#/G♭ Minor,4,6Lto2Xj8y0U2bes2hmRMZu,GBUM72400791
71,"Snap Out Of It","Arctic Monkeys",130,4A,64,2026-01-22,03:13,80,"indie, garage rock","AM",2013-09-09,73,25,0,87,0,10,-6,F Minor,4,0NdTUS4UiNYCNn5FgVqKQY,GBCEL1300371
72,"Wires","The Neighbourhood",146,6A,59,2026-01-23,03:12,45,"","I'm Sorry...",2012-08-07,55,0,33,28,0,30,-6,G Minor,4,4ObATYHHvXXlJJQ4rPKU2s,USSM11204648
73,"When You Were Young","The Killers",130,1B,99,2026-01-23,03:40,79,"alternative rock","Sam's Town",2006-09-27,47,0,5,32,10,20,-3,B Major,4,70wYA8oYHoMzhRRkARoMhU,USUM70605164
74,"Finding Me","Vertical Horizon",99,2B,93,2026-01-23,04:32,33,"","Everything You Want",1999-06-14,55,0,0,44,0,20,-5,F#/G♭ Major,4,1kFokK4qD3mAXfM0BUHkXS,USRC19900052
75,"You Say","Vertical Horizon",93,4B,75,2026-01-23,03:58,35,"","Everything You Want",1999-06-14,51,1,0,49,0,10,-6,G#/A♭ Major,4,7Kp2mScPJlaGtkYtOKzqKE,USRC19900051
